Visitor/Neutral,PTS,Home/Neutral,PTS
Boston Celtics,104,Dallas Mavericks,113
Sacramento Kings,116,Golden State Warriors,117
San Antonio Spurs,129,Milwaukee Bucks,135
Orlando Magic,108,Los Angeles Lakers,104
Phoenix Suns,107,Detroit Pistons,118
Charlotte Hornets,123,Atlanta Hawks,124
Philadelphia 76ers,127,Brooklyn Nets,125
New York Knicks,103,Memphis Grizzlies,98
Miami Heat,115,Toronto Raptors,125
Utah Jazz,133,Sacramento Kings,112
Los Angeles Clippers,104,Portland Trail Blazers,100
Milwaukee Bucks,107,Charlotte Hornets,110
Minnesota Timberwolves,102,Cleveland Cavaliers,95
Houston Rockets,131,Washington Wizards,135
San Antonio Spurs,108,Chicago Bulls,107
Boston Celtics,124,New Orleans Pelicans,107
Indiana Pacers,121,Utah Jazz,88
Orlando Magic,110,Golden State Warriors,116
New York Knicks,108,Detroit Pistons,115
Atlanta Hawks,115,Miami Heat,113
Toronto Raptors,122,Memphis Grizzlies,114
Los Angeles Lakers,85,Denver Nuggets,117
Indiana Pacers,109,Phoenix Suns,104
Atlanta Hawks,94,Charlotte Hornets,108
New York Knicks,91,Philadelphia 76ers,117
Utah Jazz,101,Brooklyn Nets,91
Dallas Mavericks,128,Houston Rockets,108
Chicago Bulls,113,Milwaukee Bucks,116
San Antonio Spurs,89,Minnesota Timberwolves,128
Washington Wizards,104,New Orleans Pelicans,125
Cleveland Cavaliers,83,Oklahoma City Thunder,100
Orlando Magic,112,Portland Trail Blazers,115
Phoenix Suns,99,Los Angeles Clippers,115
Golden State Warriors,128,Toronto Raptors,131
Indiana Pacers,96,Los Angeles Lakers,104
Los Angeles Clippers,133,Sacramento Kings,121
Cleveland Cavaliers,95,Boston Celtics,128
Utah Jazz,119,Charlotte Hornets,111
Chicago Bulls,88,Detroit Pistons,107
Washington Wizards,98,Philadelphia 76ers,123
Memphis Grizzlies,131,Brooklyn Nets,125
New Orleans Pelicans,101,Miami Heat,106
Atlanta Hawks,109,Oklahoma City Thunder,124
Houston Rockets,136,San Antonio Spurs,105
Orlando Magic,99,Phoenix Suns,85
Dallas Mavericks,103,Los Angeles Lakers,114
Denver Nuggets,113,Portland Trail Blazers,112
Milwaukee Bucks,134,New York Knicks,136
Golden State Warriors,102,Detroit Pistons,111
Brooklyn Nets,88,Washington Wizards,102
Toronto Raptors,106,Cleveland Cavaliers,95
Chicago Bulls,105,Houston Rockets,121
Boston Celtics,118,Minnesota Timberwolves,109
Indiana Pacers,110,Sacramento Kings,111
Phoenix Suns,96,Los Angeles Lakers,120
New Orleans Pelicans,119,Charlotte Hornets,109
Utah Jazz,100,Miami Heat,102
Memphis Grizzlies,95,Philadelphia 76ers,103
Los Angeles Clippers,110,Dallas Mavericks,114
Portland Trail Blazers,118,San Antonio Spurs,131
Oklahoma City Thunder,110,Detroit Pistons,83
Golden State Warriors,128,Atlanta Hawks,111
Cleveland Cavaliers,99,Brooklyn Nets,97
Washington Wizards,110,New York Knicks,107
Denver Nuggets,106,Toronto Raptors,103
Houston Rockets,91,Minnesota Timberwolves,103
Los Angeles Clippers,129,New Orleans Pelicans,126
Chicago Bulls,90,Indiana Pacers,96
Orlando Magic,105,Miami Heat,90
Portland Trail Blazers,102,Dallas Mavericks,111
Sacramento Kings,122,Phoenix Suns,105
San Antonio Spurs,105,Utah Jazz,139
Golden State Warriors,129,Cleveland Cavaliers,105
Denver Nuggets,124,Orlando Magic,118
Washington Wizards,131,Atlanta Hawks,117
Oklahoma City Thunder,114,Brooklyn Nets,112
Los Angeles Clippers,86,Memphis Grizzlies,96
Detroit Pistons,92,Milwaukee Bucks,115
Charlotte Hornets,104,Minnesota Timberwolves,121
Dallas Mavericks,106,New Orleans Pelicans,132
Philadelphia 76ers,102,Toronto Raptors,113
San Antonio Spurs,113,Los Angeles Lakers,121
New York Knicks,100,Boston Celtics,128
Phoenix Suns,86,Portland Trail Blazers,108
Houston Rockets,91,Utah Jazz,118
Denver Nuggets,107,Charlotte Hornets,113
Philadelphia 76ers,117,Detroit Pistons,111
Indiana Pacers,112,Orlando Magic,90
Toronto Raptors,105,Brooklyn Nets,106
Sacramento Kings,129,Cleveland Cavaliers,110
Oklahoma City Thunder,112,Chicago Bulls,114
Memphis Grizzlies,107,New Orleans Pelicans,103
Los Angeles Lakers,120,San Antonio Spurs,133
Miami Heat,115,Phoenix Suns,98
Golden State Warriors,105,Milwaukee Bucks,95
Houston Rockets,104,Dallas Mavericks,107
Sacramento Kings,97,Indiana Pacers,107
Denver Nuggets,98,Atlanta Hawks,106
Washington Wizards,101,Cleveland Cavaliers,116
Brooklyn Nets,112,New York Knicks,104
Boston Celtics,133,Chicago Bulls,77
Los Angeles Lakers,111,Memphis Grizzlies,88
Minnesota Timberwolves,105,Portland Trail Blazers,113
Miami Heat,121,Los Angeles Clippers,98
New Orleans Pelicans,116,Detroit Pistons,108
Milwaukee Bucks,104,Toronto Raptors,99
Utah Jazz,97,San Antonio Spurs,110
Charlotte Hornets,119,New York Knicks,107
Washington Wizards,101,Indiana Pacers,109
Detroit Pistons,102,Philadelphia 76ers,116
New Orleans Pelicans,100,Boston Celtics,113
Sacramento Kings,108,Chicago Bulls,89
Cleveland Cavaliers,92,Milwaukee Bucks,108
Utah Jazz,113,Oklahoma City Thunder,122
Orlando Magic,76,Dallas Mavericks,101
Memphis Grizzlies,99,Denver Nuggets,105
Los Angeles Clippers,123,Phoenix Suns,119
Minnesota Timberwolves,108,Golden State Warriors,116
Miami Heat,105,Los Angeles Lakers,108
Portland Trail Blazers,104,Houston Rockets,111
Phoenix Suns,86,San Antonio Spurs,111
Toronto Raptors,123,Los Angeles Clippers,99
Detroit Pistons,107,Charlotte Hornets,108
New York Knicks,106,Cleveland Cavaliers,113
Milwaukee Bucks,97,Indiana Pacers,113
Brooklyn Nets,127,Philadelphia 76ers,124
Boston Celtics,130,Washington Wizards,125
Portland Trail Blazers,83,Memphis Grizzlies,92
Oklahoma City Thunder,114,New Orleans Pelicans,118
Atlanta Hawks,107,Dallas Mavericks,114
Miami Heat,84,Utah Jazz,111
Minnesota Timberwolves,130,Sacramento Kings,141
Toronto Raptors,113,Golden State Warriors,93
Los Angeles Lakers,111,Houston Rockets,126
Los Angeles Clippers,87,San Antonio Spurs,125
Chicago Bulls,91,Orlando Magic,97
Dallas Mavericks,89,Phoenix Suns,99
Atlanta Hawks,108,Boston Celtics,129
New York Knicks,126,Charlotte Hornets,124
Washington Wizards,118,Brooklyn Nets,125
Milwaukee Bucks,114,Cleveland Cavaliers,102
Indiana Pacers,113,Philadelphia 76ers,101
Miami Heat,100,Memphis Grizzlies,97
Oklahoma City Thunder,98,Denver Nuggets,109
Toronto Raptors,122,Portland Trail Blazers,128
Golden State Warriors,130,Sacramento Kings,125
Utah Jazz,89,Orlando Magic,96
Los Angeles Lakers,128,Charlotte Hornets,100
Boston Celtics,104,Detroit Pistons,113
Houston Rockets,105,Memphis Grizzlies,97
Chicago Bulls,98,San Antonio Spurs,93
Los Angeles Clippers,104,Oklahoma City Thunder,110
Minnesota Timberwolves,99,Phoenix Suns,107
Atlanta Hawks,127,Brooklyn Nets,144
Philadelphia 76ers,128,Cleveland Cavaliers,105
New York Knicks,99,Indiana Pacers,110
Los Angeles Lakers,110,Washington Wizards,128
Sacramento Kings,120,Dallas Mavericks,113
Miami Heat,102,New Orleans Pelicans,96
Toronto Raptors,86,Denver Nuggets,95
Milwaukee Bucks,107,Detroit Pistons,104
Phoenix Suns,128,New York Knicks,110
Utah Jazz,97,Houston Rockets,102
Sacramento Kings,105,Minnesota Timberwolves,132
Chicago Bulls,96,Oklahoma City Thunder,121
Philadelphia 76ers,96,San Antonio Spurs,123
Memphis Grizzlies,93,Golden State Warriors,110
Portland Trail Blazers,131,Los Angeles Clippers,127
